course_code,course_name,department_name,year,semester,regulation,category,lecture_hours,tutorial_hours,practical_hours,credits
GE23427,Soft Skills – II,Aeronautical Engineering,3,5.0,2023.0,Laboratory,0,0,2,1
AE23521,Airframe and Aero Engine Laboratory,Aeronautical Engineering,3,5.0,2023.0,Laboratory,0,0,4,2
AE23611,Rocket Propulsion,Aeronautical Engineering,3,6.0,2023.0,Theory,2,1,0,3
AE23612,Composite Materials and Structures,Aeronautical Engineering,3,6.0,2023.0,Theory,3,0,0,3
AE23631,Flight Vehicle Design,Aeronautical Engineering,3,6.0,2023.0,LOT,3,0,2,4
AE23632,Innovation and Design Thinking for Engineers,Aeronautical Engineering,3,6.0,2023.0,Laboratory,0,0,2,2
AEPE2,Professional Elective – II,Aeronautical Engineering,3,6.0,2023.0,Professional Elective,3,0,0,3
AE23621,Artificial Intelligence and Machine Learning for Aeronautical Engineering,Aeronautical Engineering,3,6.0,2023.0,Laboratory,0,0,4,2
AE23622,Jet propulsion Laboratory,Aeronautical Engineering,3,6.0,2023.0,Laboratory,0,0,4,2
AE23623,Computational Simulation Laboratory,Aeronautical Engineering,3,6.0,2023.0,Laboratory,0,0,4,2
GE23627,Problem Solving Techniques,Aeronautical Engineering,3,6.0,2023.0,Laboratory,0,0,2,1
AE23731,Avionics,Aeronautical Engineering,4,7.0,2023.0,LOT,3,0,2,4
GE23711,Fundamentals of Management for Engineers,Aeronautical Engineering,4,7.0,2023.0,Theory,3,0,0,3
AEPE3,Professional Elective – III,Aeronautical Engineering,4,7.0,2023.0,Professional Elective,3,0,0,3
AEPE4,Professional Elective – IV,Aeronautical Engineering,4,7.0,2023.0,Professional Elective,3,0,0,3
AEPE5,Professional Elective – V,Aeronautical Engineering,4,7.0,2023.0,Professional Elective,3,0,0,3
AE23721,Project Work (Phase - I),Aeronautical Engineering,4,7.0,2023.0,Laboratory,0,0,4,2
AEPE6,Professional Elective – VI,Aeronautical Engineering,4,8.0,2023.0,Professional Elective,3,0,0,3
AE23821,Project Work (Phase - II),Aeronautical Engineering,4,8.0,2023.0,Laboratory,0,0,16,8
HS23111,Technical Communication -I,Artificial Intelligence and Data Science,1,1.0,2023.0,Theory,2,0,0,2
MA23116,Mathematical Foundations for AI,Artificial Intelligence and Data Science,1,1.0,2023.0,Theory,3,1,0,4
GE23117,தமிழர் மரபு /Heritage of Tamils,Artificial Intelligence and Data Science,1,1.0,2023.0,Theory,1,0,0,1
PH23132,Physics for Information Science,Artificial Intelligence and Data Science,1,1.0,2023.0,LOT,3,0,2,4
GE23131,Programming using C,Artificial Intelligence and Data Science,1,1.0,2023.0,LOT,1,0,6,4
EE23133,Basic Electrical and Electronics Engineering,Artificial Intelligence and Data Science,1,1.0,2023.0,LOT,3,0,2,4
GE23122,Engineering Practices – Electrical and Electronics,Artificial Intelligence and Data Science,1,1.0,2023.0,Laboratory,0,0,2,1
MC23111,Indian Constitution and Freedom Movement,Artificial Intelligence and Data Science,1,1.0,2023.0,Others,3,0,0,0
MA23214,Probability and Inferential Statistics,Artificial Intelligence and Data Science,1,2.0,2023.0,Theory,3,1,0,4
GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Artificial Intelligence and Data Science,1,2.0,2023.0,Theory,1,0,0,1
GE23111,Engineering Graphics,Artificial Intelligence and Data Science,1,2.0,2023.0,Theory,2,0,4,4
IT23231,Digital Logic and Computer Architecture,Artificial Intelligence and Data Science,1,2.0,2023.0,LOT,3,0,2,4
AI23231,Principles of Artificial Intelligence,Artificial Intelligence and Data Science,1,2.0,2023.0,LOT,3,0,2,4
CS23231,Data Structures,Artificial Intelligence and Data Science,1,2.0,2023.0,LOT,3,0,4,5
HS23221/HS23222,Technical Communication II/ English for Professional Competence,Artificial Intelligence and Data Science,1,2.0,2023.0,Laboratory,0,0,2,1
GE23121,Engineering Practices – Civil and Mechanical,Artificial Intelligence and Data Science,1,2.0,2023.0,Laboratory,0,0,2,1
CS23221,Python Programming Lab,Artificial Intelligence and Data Science,1,2.0,2023.0,Laboratory,0,0,4,2
MA23313,Discrete Mathematics for AI,Artificial Intelligence and Data Science,2,3.0,2023.0,Theory,3,1,0,4
AI23331,Fundamentals of Machine Learning,Artificial Intelligence and Data Science,2,3.0,2023.0,LOT,3,0,2,4
CS23331,Design and Analysis of Algorithms,Artificial Intelligence and Data Science,2,3.0,2023.0,LOT,3,0,2,4
CS23332,Database Management Systems,Artificial Intelligence and Data Science,2,3.0,2023.0,LOT,3,0,4,5
CS23333,Object Oriented Programming Using JAVA,Artificial Intelligence and Data Science,2,3.0,2023.0,LOT,1,0,6,4
MC23112,Environmental Science and Engineering,Artificial Intelligence and Data Science,2,3.0,2023.0,LOT,3,0,0,0
OE - 1,Open Elective - I,Artificial Intelligence and Data Science,2,4.0,2023.0,Open Elective,3,0,0,3
MA23434,Optimization Techniques for AI,Artificial Intelligence and Data Science,2,4.0,2023.0,LOT,3,0,2,4
AI23431,Web Technology and Mobile Application,Artificial Intelligence and Data Science,2,4.0,2023.0,LOT,1,0,4,3
AD23431,Statistical Analysis and Computing,Artificial Intelligence and Data Science,2,4.0,2023.0,LOT,2,0,2,3
CS23431,Operating Systems,Artificial Intelligence and Data Science,2,4.0,2023.0,LOT,3,0,4,5
CS23432,Software Construction,Artificial Intelligence and Data Science,2,4.0,2023.0,Laboratory,3,0,2,4
GE23421,Soft Skills – I,Artificial Intelligence and Data Science,2,4.0,2023.0,Laboratory,0,0,2,1
ADPE1,Professional Elective – I,Artificial Intelligence and Data Science,3,5.0,2023.0,Professional Elective,3,0,0,3
ADPE2,Professional Elective – II,Artificial Intelligence and Data Science,3,5.0,2023.0,Professional Elective,3,0,0,3
BA23512,Fundamentals of Accounting,Artificial Intelligence and Data Science,3,5.0,2023.0,Theory,3,0,0,3
AD23531,Architecture for Management of Large Data Sets,Artificial Intelligence and Data Science,3,5.0,2023.0,LOT,3,0,2,4
AD23532,Framework for Data and Visual Analytics,Artificial Intelligence and Data Science,3,5.0,2023.0,LOT,3,0,2,4
CS23532,Computer Networks,Artificial Intelligence and Data Science,3,5.0,2023.0,LOT,3,0,4,5
AD23521,Data Science Laboratory,Artificial Intelligence and Data Science,3,5.0,2023.0,Laboratory,0,0,4,2
GE23521,Soft Skills – II,Artificial Intelligence and Data Science,3,5.0,2023.0,Laboratory,0,0,2,1
ADPE3,Professional Elective – III,Artificial Intelligence and Data Science,3,6.0,2023.0,Professional Elective,3,0,0,3
OE - 2,Open Elective - II,Artificial Intelligence and Data Science,3,6.0,2023.0,Open Elective,3,0,0,3
AD23631,Data Privacy and Security,Artificial Intelligence and Data Science,3,6.0,2023.0,LOT,3,0,2,4
AD23632,Deep Neural Networks,Artificial Intelligence and Data Science,3,6.0,2023.0,LOT,3,0,2,4
AD23633,Design Thinking for Innovation in Data Science,Artificial Intelligence and Data Science,3,6.0,2023.0,LOT,1,0,2,2
GE23622,Problem Solving Techniques,Artificial Intelligence and Data Science,3,6.0,2023.0,Others,0,0,2,1
ADPE4,Professional Elective – IV,Artificial Intelligence and Data Science,4,7.0,2023.0,Professional Elective,3,0,0,3
AI23712,Reinforcement Learning,Artificial Intelligence and Data Science,4,7.0,2023.0,Theory,3,0,0,3
IT23731,Cloud and Big data Architecture,Artificial Intelligence and Data Science,4,7.0,2023.0,LOT,3,0,2,4
AD23521,Toolkit for Data Science,Artificial Intelligence and Data Science,4,7.0,2023.0,Laboratory,0,0,2,1
AD23722,Project Work (Phase - I),Artificial Intelligence and Data Science,4,7.0,2023.0,Laboratory,0,0,8,4
ADPE5,Professional Elective – V,Artificial Intelligence and Data Science,4,8.0,2023.0,Professional Elective,3,0,0,3
ADPE6,Professional Elective – VI,Artificial Intelligence and Data Science,4,8.0,2023.0,Professional Elective,3,0,0,3
AD23821,Project Work (Phase - II),Artificial Intelligence and Data Science,4,8.0,2023.0,Laboratory,0,0,12,6
HS23111,Technical Communication -I,Artificial Intelligence and Machine Learning,1,1.0,2023.0,Theory,2,0,0,2
MA23116,Mathematical Foundations for AI,Artificial Intelligence and Machine Learning,1,1.0,2023.0,Theory,3,1,0,4
GE23117,தமிழர் மரபு /Heritage of Tamils,Artificial Intelligence and Machine Learning,1,1.0,2023.0,Theory,1,0,0,1
PH23132,Physics for Information Science,Artificial Intelligence and Machine Learning,1,1.0,2023.0,LOT,3,0,2,4
GE23131,Programming using C,Artificial Intelligence and Machine Learning,1,1.0,2023.0,LOT,1,0,6,4
EE23133,Basic Electrical and Electronics Engineering,Artificial Intelligence and Machine Learning,1,1.0,2023.0,LOT,3,0,2,4
GE23122,Engineering Practices – Electrical and Electronics,Artificial Intelligence and Machine Learning,1,1.0,2023.0,Laboratory,0,0,2,1
MC23111,Indian Constitution and Freedom Movement,Artificial Intelligence and Machine Learning,1,1.0,2023.0,Theory,3,0,0,0
MA23214,Probability and Inferential Statistics,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Theory,3,1,0,4
GE23111,Engineering Graphics,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Theory,2,2,0,4
GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Theory,1,0,0,1
IT23231,Digital Logic and Computer Architecture,Artificial Intelligence and Machine Learning,1,2.0,2023.0,LOT,3,0,2,4
AI23231,Principles of Artificial Intelligence,Artificial Intelligence and Machine Learning,1,2.0,2023.0,LOT,3,0,2,4
CS23231,Data Structures,Artificial Intelligence and Machine Learning,1,2.0,2023.0,LOT,3,0,4,5
HS23222/HS23223,Technical Communication II / English for Professional Competence,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Theory,0,0,2,1
GE23121,Engineering Practices – Civil and Mechanical,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Laboratory,0,0,2,1
CS23221,Python Programming Lab,Artificial Intelligence and Machine Learning,1,2.0,2023.0,Laboratory,0,0,4,2
MA23313,Discrete Mathematics for AI,Artificial Intelligence and Machine Learning,2,3.0,2023.0,Theory,3,1,0,4
BA23512,Fundamentals of Accounting,Artificial Intelligence and Machine Learning,2,3.0,2023.0,Theory,3,0,0,3
AI23331,Fundamentals of Machine Learning,Artificial Intelligence and Machine Learning,2,3.0,2023.0,LOT,3,0,2,4
CS23331,Design and Analysis of Algorithms,Artificial Intelligence and Machine Learning,2,3.0,2023.0,LOT,3,0,2,4
CS23332,Database Management Systems,Artificial Intelligence and Machine Learning,2,3.0,2023.0,LOT,3,0,4,5
CS23333,Object Oriented Programming Using JAVA,Artificial Intelligence and Machine Learning,2,3.0,2023.0,LOT,1,0,6,4
MC23112,Environmental Science and Engineering,Artificial Intelligence and Machine Learning,2,3.0,2023.0,Theory,3,0,0,0
OE - 1,Open Elective - I,Artificial Intelligence and Machine Learning,2,4.0,2023.0,Open Elective,3,0,0,3
MA23434,Optimization Techniques for AI,Artificial Intelligence and Machine Learning,2,4.0,2023.0,LOT,3,0,2,4
AI23431,Web Technology and Mobile Application,Artificial Intelligence and Machine Learning,2,4.0,2023.0,LOT,1,0,4,3
CS23431,Operating Systems,Artificial Intelligence and Machine Learning,2,4.0,2023.0,LOT,3,0,4,5
CS23432,Software Construction,Artificial Intelligence and Machine Learning,2,4.0,2023.0,LOT,3,0,2,4
GE23421,Soft Skills – I,Artificial Intelligence and Machine Learning,2,4.0,2023.0,Laboratory,0,0,2,1
AIPE1,Professional Elective – I,Artificial Intelligence and Machine Learning,3,5.0,2023.0,Professional Elective,3,0,0,3
AIPE2,Professional Elective – II,Artificial Intelligence and Machine Learning,3,5.0,2023.0,Professional Elective,3,0,0,3
AI23531,Deep Learning,Artificial Intelligence and Machine Learning,3,5.0,2023.0,LOT,3,0,2,4
AD23532,Framework for Data and Visual Analytics,Artificial Intelligence and Machine Learning,3,5.0,2023.0,LOT,3,0,2,4
CS23532,Computer Networks,Artificial Intelligence and Machine Learning,3,5.0,2023.0,LOT,3,0,4,5
AI23521,Build and Deploy Machine Learning Applications,Artificial Intelligence and Machine Learning,3,5.0,2023.0,Laboratory,0,0,2,1
AD23521,Data Science Laboratory,Artificial Intelligence and Machine Learning,3,5.0,2023.0,Laboratory,0,0,4,2
GE23521,Soft Skills – II,Artificial Intelligence and Machine Learning,3,5.0,2023.0,Laboratory,0,0,2,1
AIPE3,Professional Elective – III,Artificial Intelligence and Machine Learning,3,6.0,2023.0,Professional Elective,3,0,0,3
OE - 2,Open Elective - II,Artificial Intelligence and Machine Learning,3,6.0,2023.0,Open Elective,3,0,0,3
AI23611,Secure Systems Engineering,Artificial Intelligence and Machine Learning,3,6.0,2023.0,Theory,3,0,0,3
AI23631,Predictive and Prescriptive Analytics,Artificial Intelligence and Machine Learning,3,6.0,2023.0,LOT,3,0,2,4
AI23632,Foundations of Natural Language Processing,Artificial Intelligence and Machine Learning,3,6.0,2023.0,LOT,3,0,2,4
AI23633,Design Thinking for Innovation in Machine Learning,Artificial Intelligence and Machine Learning,3,6.0,2023.0,LOT,1,0,2,2
GE23622,Problem Solving Techniques,Artificial Intelligence and Machine Learning,3,6.0,2023.0,Laboratory,0,0,2,1
AIPE4,Professional Elective – IV,Artificial Intelligence and Machine Learning,4,7.0,2023.0,Professional Elective,3,0,0,3
AI23711,Social and Ethical Issues in AI,Artificial Intelligence and Machine Learning,4,7.0,2023.0,Theory,1,0,0,1
AI23712,Reinforcement Learning,Artificial Intelligence and Machine Learning,4,7.0,2023.0,Theory,3,0,0,3
IT23731,Cloud and Big data Architecture,Artificial Intelligence and Machine Learning,4,7.0,2023.0,LOT,3,0,2,4
AI23721,Project Work (Phase - I),Artificial Intelligence and Machine Learning,4,7.0,2023.0,Laboratory,0,0,8,4
AIPE5,Professional Elective – V,Artificial Intelligence and Machine Learning,4,8.0,2023.0,Professional Elective,3,0,0,3
AIPE6,Professional Elective – VI,Artificial Intelligence and Machine Learning,4,8.0,2023.0,Professional Elective,3,0,0,3
AI23821,Project Work (Phase - II),Artificial Intelligence and Machine Learning,4,8.0,2023.0,Laboratory,0,0,12,6
HS23111,Technical Communication -I,Automobile Engineering,1,1.0,2023.0,Theory,2,0,0,2
MA23112,Algebra and Calculus,Automobile Engineering,1,1.0,2023.0,Theory,3,1,0,4
GE23111,Engineering Graphics,Automobile Engineering,1,1.0,2023.0,Theory,2,0,4,4
AT23111,Production Technology - I,Automobile Engineering,1,1.0,2023.0,Theory,3,0,0,3
GE23117,தமிழர் மரபு /Heritage of Tamils,Automobile Engineering,1,1.0,2023.0,Theory,1,0,0,1
PH23131,Physics of Materials,Automobile Engineering,1,1.0,2023.0,LOT,3,0,2,4
GE23121,Engineering Practices – Civil and Mechanical,Automobile Engineering,1,1.0,2023.0,Laboratory,0,0,2,1
MC23112,Environmental Science and Engineering,Automobile Engineering,1,1.0,2023.0,Theory,3,0,0,0
MA23212,Differential Equations and Complex Variables,Automobile Engineering,1,2.0,2023.0,Theory,3,1,0,4
GE23211,Engineering Mechanics,Automobile Engineering,1,2.0,2023.0,Theory,2,1,0,3
GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Automobile Engineering,1,2.0,2023.0,Theory,1,0,0,1
CY23223,Engineering Chemistry ,Automobile Engineering,1,2.0,2023.0,LOT,3,0,2,4
EE23133,Basic Electrical and Electronics Engineering,Automobile Engineering,1,2.0,2023.0,LOT,3,0,2,4
GE23231,Programming Using Python,Automobile Engineering,1,2.0,2023.0,LOT,1,0,4,3
HS23221/HS23222,Technical Communication II/ English for Professional Competence,Automobile Engineering,1,2.0,2023.0,Laboratory,0,0,2,1
GE23122,Engineering Practices – Electrical and Electronics,Automobile Engineering,1,2.0,2023.0,Laboratory,0,0,2,1
MC23111,Indian Constitution and Freedom Movement,Automobile Engineering,1,2.0,2023.0,Theory,3,0,0,0
MA23331,Transforms and Statistics,Automobile Engineering,2,3.0,2023.0,LOT,3,0,2,4
AT23331,Automotive Engines,Automobile Engineering,2,3.0,2023.0,LOT,3,0,2,4
AT23332,Applied Thermodynamics,Automobile Engineering,2,3.0,2023.0,LOT,2,1,2,4
AT23333,Strength of Materials for Automobile Engineers,Automobile Engineering,2,3.0,2023.0,LOT,2,1,2,4
AT23334,Production Technology - II,Automobile Engineering,2,3.0,2023.0,LOT,3,0,2,4
AT23321,Computer Aided Machine Drawing Laboratory,Automobile Engineering,2,3.0,2023.0,Laboratory,0,0,4,2
AT23411,Electric and Hybrid Vehicles - I,Automobile Engineering,2,4.0,2023.0,Theory,3,0,0,3
AT23412,Engineering Materials and Metallurgy,Automobile Engineering,2,4.0,2023.0,Theory,3,0,0,3
AT23431,Automotive Drive Line and Chassis,Automobile Engineering,2,4.0,2023.0,LOT,3,0,2,4
AT23432,Fluid Mechanics and Machinery for Automobile Engineers,Automobile Engineering,2,4.0,2023.0,LOT,2,1,2,4
AT23433,Theory of Machines,Automobile Engineering,2,4.0,2023.0,LOT,2,1,2,4
CS23422,Python Programming for Machine Learning,Automobile Engineering,2,4.0,2023.0,LOT,0,0,4,2
GE23327,Soft Skills – I,Automobile Engineering,2,4.0,2023.0,Laboratory,0,0,2,1
AT23511,Machine Design,Automobile Engineering,3,5.0,2023.0,Theory,2,1,0,3
GE23311,Fundamentals of Management for Engineers,Automobile Engineering,3,5.0,2023.0,Theory,3,0,0,3
ATPE1,Professional Elective – I,Automobile Engineering,3,5.0,2023.0,Professional Elective,3,0,0,3
OE - 1,Open Elective - I,Automobile Engineering,3,5.0,2023.0,Open Elective,3,0,0,3
AT23531,Automotive Electrical and Electronics,Automobile Engineering,3,5.0,2023.0,LOT,3,0,2,4
AT23532,Electric and Hybrid Vehicles - II,Automobile Engineering,3,5.0,2023.0,LOT,3,0,2,4
AT23521,Two and Three wheelers Laboratory,Automobile Engineering,3,5.0,2023.0,Laboratory,0,0,2,1
AT23522,Computer Aided Vehicle Design Data Characteristics Laboratory,Automobile Engineering,3,5.0,2023.0,Laboratory,0,0,2,1
GE23427,Soft Skills – II,Automobile Engineering,3,5.0,2023.0,Laboratory,0,0,2,1
ATPE2,Professional Elective – II,Automobile Engineering,3,6.0,2023.0,Professional Elective,3,0,0,3
OE - 2,Open Elective - II,Automobile Engineering,3,6.0,2023.0,Open Elective,3,0,0,3
AT23631,Automotive System Design,Automobile Engineering,3,6.0,2023.0,LOT,2,1,2,4
AT23632,Vehicle Dynamics,Automobile Engineering,3,6.0,2023.0,LOT,2,1,2,4
AT23633,Automotive Fuels and Lubricants,Automobile Engineering,3,6.0,2023.0,LOT,3,0,2,4
GE23627,Problem Solving Techniques,Automobile Engineering,3,6.0,2023.0,Others,0,0,2,1
AT23621,Design Thinking and Innovation for Automobile Engineers,Automobile Engineering,3,6.0,2023.0,Laboratory,0,0,4,2
AT23711,Automotive Pollution and Control,Automobile Engineering,4,7.0,2023.0,Theory,3,0,0,3
AT23712,Intelligent Vehicle System,Automobile Engineering,4,7.0,2023.0,Theory,3,0,0,3
AT23713,Automotive Safety,Automobile Engineering,4,7.0,2023.0,Theory,3,0,0,3
ATPE4,Professional Elective – IV,Automobile Engineering,4,7.0,2023.0,Professional Elective,3,0,0,3
AT23721,AI and ML for Automobile Engineers,Automobile Engineering,4,7.0,2023.0,LOT,0,0,4,2
AT23722,Vehicle Maintenance Laboratory,Automobile Engineering,4,7.0,2023.0,Laboratory,0,0,2,1
AT23723,Computer Aided Analysis laboratory,Automobile Engineering,4,7.0,2023.0,Laboratory,0,0,2,1
AT237X,Industrial Training,Automobile Engineering,4,7.0,2023.0,Others,0,0,2,1
ATPE4,Professional Elective – IV,Automobile Engineering,4,8.0,2023.0,Professional Elective,3,0,0,3
ATPE5,Professional Elective – V,Automobile Engineering,4,8.0,2023.0,Professional Elective,3,0,0,3
AT23821,Project Work,Automobile Engineering,4,8.0,2023.0,Laboratory,0,0,20,10
HS23111,Technical Communication -I,Biomedical Engineering,1,1.0,2023.0,Theory,2,0,0,2
MA23111,Linear Algebra and Calculus,Biomedical Engineering,1,1.0,2023.0,Theory,3,1,0,4
GE23111,Engineering Graphics,Biomedical Engineering,1,1.0,2023.0,Theory,2,2,0,4
GE23117,தமிழர் மரபு /Heritage of Tamils,Biomedical Engineering,1,1.0,2023.0,Theory,1,0,0,1
MC23112,Environmental Science and Engineering,Biomedical Engineering,1,1.0,2023.0,Theory,3,0,0,0
CY23131,Chemistry For Electronics Engineering,Biomedical Engineering,1,1.0,2023.0,LOT,3,0,2,4
GE23121,Engineering Practices – Civil and Mechanical,Biomedical Engineering,1,1.0,2023.0,Laboratory,0,0,2,1
MA23212,Differential Equations and Complex Variables,Biomedical Engineering,1,2.0,2023.0,Theory,3,1,0,4
ME23211,Engineering Mechanics for Biomedical Engineers,Biomedical Engineering,1,2.0,2023.0,Theory,3,1,0,4
GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,Biomedical Engineering,1,2.0,2023.0,Theory,1,0,0,1
CS23232,Fundamentals of Data Structures using C,Biomedical Engineering,1,2.0,2023.0,LOT,3,0,4,5
PH23231,Physics for Bioscience,Biomedical Engineering,1,2.0,2023.0,LOT,3,0,2,4
BM23231,Electric Circuits and Machines,Biomedical Engineering,1,2.0,2023.0,LOT,3,0,2,4
HS23222/HS23223,Technical Communication II / English for Professional Competence,Biomedical Engineering,1,2.0,2023.0,Laboratory,0,0,2,1
GE23122,Engineering Practices – Electrical and Electronics,Biomedical Engineering,1,2.0,2023.0,Laboratory,0,0,2,1
MA23312,Fourier series and Number theory,Biomedical Engineering,2,3.0,2023.0,Theory,3,1,0,4
BM23311,Human Anatomy and Physiology,Biomedical Engineering,2,3.0,2023.0,Theory,3,0,0,3
BM23312,Biomedical Instrumentation,Biomedical Engineering,2,3.0,2023.0,Theory,3,0,0,3
BM23313,Biochemical Science,Biomedical Engineering,2,3.0,2023.0,Theory,3,0,0,3
BM23331,Electronic Devices & Circuits,Biomedical Engineering,2,3.0,2023.0,LOT,3,0,2,4
BM23332,Sensors and Measurements,Biomedical Engineering,2,3.0,2023.0,LOT,2,0,2,3
BM23321,Biochemistry and Physiology Laboratory,Biomedical Engineering,2,3.0,2023.0,Laboratory,0,0,4,2
BM23322,Biomedical Instrumentation Laboratory,Biomedical Engineering,2,3.0,2023.0,Laboratory,0,0,4,2
BM23411,Analog and Digital Integrated Circuits,Biomedical Engineering,2,4.0,2023.0,Theory,3,0,0,3
BM23412,Principles of Communication Systems,Biomedical Engineering,2,4.0,2023.0,Theory,3,0,0,3
MC23111,Indian Constitution and Freedom Movement,Biomedical Engineering,2,4.0,2023.0,Theory,3,0,0,0
OE - 1,Open Elective - I,Biomedical Engineering,2,4.0,2023.0,Open Elective,3,0,0,3
MA23416,Probability and Random Process,Biomedical Engineering,2,4.0,2023.0,Theory,3,1,0,4
BM23431,Pathology and Microbiology,Biomedical Engineering,2,4.0,2023.0,LOT,2,0,2,3
CS23336,Introduction to Python Programming,Biomedical Engineering,2,4.0,2023.0,LOT,1,0,4,3
BM23421,Analog and Digital Integrated Circuits Laboratory,Biomedical Engineering,2,4.0,2023.0,Laboratory,0,0,4,2
BM23422,PCB Design Laboratory,Biomedical Engineering,2,4.0,2023.0,Laboratory,0,0,2,1
GE23421,Soft Skills – I,Biomedical Engineering,2,4.0,2023.0,Laboratory,0,0,2,1
BM23511,Biocontrol systems,Biomedical Engineering,3,5.0,2023.0,Theory,3,0,0,3
BM23512,Diagnostic and Therapeutic Equipment,Biomedical Engineering,3,5.0,2023.0,Theory,3,0,0,3
OE - 2,Open Elective - II,Biomedical Engineering,3,5.0,2023.0,Open Elective,3,0,0,3
BMPE1,Professional Elective – I,Biomedical Engineering,3,5.0,2023.0,Professional Elective,3,0,0,3
BM23531,Signals and Systems Analysis,Biomedical Engineering,3,5.0,2023.0,LOT,1,1,2,3
BM23532,Microcontroller and Embedded System Design,Biomedical Engineering,3,5.0,2023.0,LOT,3,0,2,4
