course_code,course_name,department,total_labs,lab_1_name,lab_1_room,lab_1_block,lab_1_min_cap,lab_1_max_cap,lab_1_projector,lab_1_ac,lab_1_tech_level,lab_2_name,lab_2_room,lab_2_block,lab_2_min_cap,lab_2_max_cap,lab_2_projector,lab_2_ac,lab_2_tech_level,lab_3_name,lab_3_room,lab_3_block,lab_3_min_cap,lab_3_max_cap,lab_3_projector,lab_3_ac,lab_3_tech_level
EE19742,Power System Operation and Control,Electrical & Electronics Engineering,1,Power System Simulation Lab,B318,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
EE23521,Control and Instrumentation Laboratory,Electrical & Electronics Engineering,2,Power System Simulation Lab,B318,B Block,20.0,35.0,1.0,0.0,High-tech,Power Electronics Lab,BG009,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,
GE23627,Design Thinking and Innovation,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,B311,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
EE23321,Electronic Devices and Circuits Laboratory,Electrical & Electronics Engineering,1,Electronic Devices & Circuits Lab,B311,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
EE23531,"Microprocessors, Microcontrollers and Applications",Electrical & Electronics Engineering,2,Microprocessor and Microcontrollers Lab,C106,C Block,20.0,35.0,1.0,0.0,,Electronic Devices & Circuits Lab,B311,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,
ET23121,Embedded System Laboratory I,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),BG010,B Block,0.0,10.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
ET23322,IOT for Embedded Applications Laboratory,Electrical & Electronics Engineering,1,Embedded System Laboratory(EEE),BG010,B Block,0.0,10.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
ME19741,Mechatronics,Mechanical Engineering,1,Mechatronics Lab,C107,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
ME23531,Heat and Mass Transfer,Mechanical Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Thermal Lab 2,WS MECH TL,C Block,20.0,35.0,0.0,0.0,Basic,,,,,,,,
ME23532,Metrology and Measurements,Mechanical Engineering,1,Metrology & Measurement Lab,C408,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
ME23521,Component Modeling Laboratory,Mechanical Engineering,2,Mech CAD Lab,C401,C Block,20.0,35.0,1.0,0.0,Advanced,nan,TANCAM,Arch Block,,,,,,,,,,,,,
ME23331,Strength of Materials,Mechanical Engineering,1,Strength of Materials Lab,WS MECH SM,C Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,,,,,,,,,
ME23321,Manufacturing Technology Laboratory I,Mechanical Engineering,2,Manufacturing Technology I,WS MECH GF1,C Block,20.0,35.0,0.0,0.0,Basic,Machine Shop FF2 - EPL - 2,WS MECH FF2,C Block,50.0,70.0,0.0,0.0,,,,,,,,,
EE19741,Renewable Energy Systems,Electrical & Electronics Engineering,1,Power System Simulation Lab,B318,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
EE23131,Principles of Electrical Engineering,Electrical & Electronics Engineering,2,Electrical Machines I Lab,BG014,B Block,20.0,35.0,1.0,0.0,,Electrical Machines II Lab,WBL11,B Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,
CH23331,Fluid Mechanics for Chemical Engineers,Chemical Engineering,1,Fluid Mechanics Lab,WS MECH FM,C Block,20.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,
CH23521,Heat Transfer Lab,Chemical Engineering,2,Thermal Lab 1,WS MECH FF4,C Block,20.0,35.0,0.0,0.0,Advanced,Heat Transfer Lab,WS AUTO FF2,Workshop,20.0,35.0,0.0,0.0,Basic,,,,,,,,
AT23531,Automotive Electrical and Electronics,Automobile Engineering,2,Electrical Machines I Lab,BG014,B Block,20.0,35.0,1.0,0.0,,Chemical Reaction Engineering Lab,B Ground Floor,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,
ED23131,Vibration Analysis and Control,Mechanical Engineering,1,Dynamics Lab,C407,C Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
ED23121,Mechanism Design Laboratory,Mechanical Engineering,1,Mech CAD Lab,C401,C Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
CH19711,Chemical Reaction Engineering  lab,Chemical Engineering,1,Chemical Reaction Engineering Lab,B Ground Floor,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
BM19741,Digital Image Processing Techniques,Biomedical Engineering,1,Medical Image Processing Lab,DG004,D Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
BM23331,Electronic Devices & Circuits,Biomedical Engineering,1,Electronics and Instrumentation,DG012,D Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
BM23321,Biochemistry and Physiology Laboratory,Biomedical Engineering,1,Biochemistry Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
BM23322,Biomedical Instrumentation Laboratory,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,DG013,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
BM23531,Signals and Systems Analysis,Biomedical Engineering,1,Medical Image Processing Lab,DG004,D Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
BM23532,Microcontroller and Embedded System Design,Biomedical Engineering,1,Microprocessor Lab-1,B205,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
BM23521,Diagnostic and Therapeutic Equipment Laboratory,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,DG013,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
BM19712,Hospital Training,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,DG013,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
BM19713,AI-ML-DL in Healthcare,Biomedical Engineering,1,Electronics and Instrumentation,DG012,D Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
MX23131,Biosignal Acquisition and Processing,Biomedical Engineering,1,Medical Image Processing Lab,DG004,D Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
MX23121,Biomedical Instrumentation Lab,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,DG013,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
MX23322,Training in Healthcare Sector,Biomedical Engineering,1,Diagnostic and Therapeutic Equipment Lab,DG013,D Block,20.0,35.0,1.0,0.0,Basic,,,,,,,,,,,,,,,,
EC19711,Embedded Laboratory,Electronics & Communication Engineering,1,Embedded System Laboratory (ECE),B117,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
FT23311,Food Microbiology Laboratory,Food Technology,1,Food Microbiology Lab,CG001,C Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
AV23121,AVIONICS INTEGRATION LABORATORY,Aeronautical Engineering,1,Avionics Lab,CG005,C Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
GE23121,Engineering Practices â€“ Civil and Mechanical,Mechanical Engineering,1,Machine Shop FF1 - EPL - 1,WS MECH FF1,C Block,,,,,,,,,,,,,,,,,,,,,
EE23133,Basic Electrical and Electronics Engineering,Electrical & Electronics Engineering,2,Basic Electronics Lab-1,B118,B Block,20.0,35.0,1.0,0.0,High-tech,Electrical Machines I Lab,BG014,B Block,20.0,35.0,1.0,0.0,,,,,,,,,
EE23B21,Wiring Harness Design Engineering,Electrical & Electronics Engineering,1,nan,TANCAM,Arch Block,,,,,,,,,,,,,,,,,,,,,
MT23121,Computer Aided Drawing Lab,Mechatronics Engineering,1,MCT CAD Lab,B310,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
BT19711,Downstream processing lab,Biotechnology,1,Downstream Processing Lab,B Second Floor,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
BT23523,Immunology lab,Biotechnology,1,Immunology Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,Advanced,,,,,,,,,,,,,,,,
EE19711,Project Work / Phase -I,Electrical & Electronics Engineering,1,Power System Simulation Lab,B318,B Block,20.0,35.0,1.0,0.0,High-tech,,,,,,,,,,,,,,,,
CY23131,Chemistry For Electronics Engineering,Chemistry,1,Chemistry Lab,D503,D Block,0.0,70.0,0.0,0.0,,,,,,,,,,,,,,,,,
GE23121,Engineering Practices - Civil and Mechanical,Automobile Engineering,1,Machine Shop FF1 - EPL - 1,WS MECH FF1,C Block,,,,,,,,,,,,,,,,,,,,,
BY23122,Recombinant DNA Technology Laboratory,Biotechnology,1,Genetic Engineering Lab,B First Floor,B Block,20.0,35.0,1.0,0.0,,,,,,,,,,,,,,,,,
EE23132,Basic Electrical Engineering,Electrical & Electronics Engineering,2,Electrical Machines I Lab,BG014,B Block,20.0,35.0,1.0,0.0,,Electrical Machines II Lab,WBL11,B Block,20.0,35.0,0.0,0.0,High-tech,,,,,,,,
