DEPARTMENT,Course Code,Course Title,Venue
Automobile Engineering,AT23532,Electric and Hybrid Vehicles - II,Auto CAD Lab
Automobile Engineering,AT23521,Two and Three wheelers Laboratory,Automotive Componenets lab
Automobile Engineering,AT23522,Computer Aided Vehicle Design Data Characteristics Laboratory,Auto CAD Lab
Automobile Engineering,AT23631,Automotive System Design,Auto CAD Lab
Automobile Engineering,AT23632,Vehicle Dynamics,Auto CAD Lab
Automobile Engineering,AT23633,Automotive Fuels and Lubricants,Vehicle Maintenance lab
Automobile Engineering,AT23722,Vehicle Maintenance Laboratory,Automotive Componenets lab
Automobile Engineering,AT23723,Computer Aided Analysis laboratory,Auto CAD Lab
Biomedical Engineering,CY23131,Chemistry For Electronics Engineering,Chemistry Lab
Biomedical Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Biomedical Engineering,PH23231,Physics for Bioscience,Physics Lab
Biomedical Engineering,BM23231,Electric Circuits and Machines,Engineering Practices Lab (Electronics)
Biomedical Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Biomedical Engineering,BM23331,Electronic Devices & Circuits,Electronics and instrumentation
Biomedical Engineering,BM23332,Sensors and Measurements,Power Electronics Lab
Biomedical Engineering,BM23321,Biochemistry and Physiology Laboratory,Biochemistry lab
Biomedical Engineering,BM23322,Biomedical Instrumentation Laboratory,Diagnostic and therapeutic equipment lab
Biomedical Engineering,BM23431,Pathology and Microbiology,microbiology lab
Biomedical Engineering,BM23421,Analog and Digital Integrated Circuits Laboratory,Electronics and instrumentation
Biomedical Engineering,BM23422,PCB Design Laboratory,Medical Image processing lab
Biomedical Engineering,BM23531,Signals and Systems Analysis,Medical Image processing lab
Biomedical Engineering,BM23532,Microcontroller and Embedded System Design,Microprocessor lab-1
Biomedical Engineering,BM23521,Diagnostic and Therapeutic Equipment Laboratory,Diagnostic and therapeutic equipment lab
Biomedical Engineering,BM23631,Biosignal Processing,Medical Image processing lab
Biomedical Engineering,BM23632,Physiological Modeling Laboratory,Medical Image processing lab
Biomedical Engineering,BM23731,Medical Image Processing,Medical Image processing lab
Biomedical Engineering,BM23721,Artificial Intelligence and Machine learning for Biomedical Engineering,Diagnostic and therapeutic equipment lab
Biotechnology,CY23132,Chemistry for Technologists,Chemistry Lab
Biotechnology,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Biotechnology,BT23131,Microbiology,microbiology lab
Biotechnology,PH23231,Physics for Bioscience,Physics Lab
Biotechnology,BT23221,Biochemistry Laboratory,Biochemistry lab
Biotechnology,BT23321,Basic Food and Enzyme Technology Laboratory,microbiology lab
Biotechnology,BT23331,Analytical Techniques in Biotechnology,Biochemistry lab
Biotechnology,BT23421,Chemical Engineering Laboratory for Biotechnologists,Fluid Mechanics Lab
Biotechnology,BT23422,Molecular Biology and Genetic Engineering Laboratory,"Immunology lab, Genetic engineering lab"
Biotechnology,BT23521,Bioprocess Laboratory- I,Bioprocess lab
Biotechnology,BT23621,Bioprocess Laboratory II,Bioprocess lab
Biotechnology,BT23721,Downstream Processing Lab,Downstream processing lab
Biotechnology,BT23722,Immunology lab,Immunology lab
Biotechnology,BT23723,Artificial Intelligence and Machine Learning for Biotechnologist,Computer Application in Chemical Engg lab
Biotechnology,CR23P62,Microfluidics Laboratory,MEMS Lab
Chemical Engineering,CY23312,Chemistry for Technologists,Chemistry Lab
Chemical Engineering,GE23121,Engineering Practices – Civil and Mechanical,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)"
Chemical Engineering,PH23233,Material Science,Physics Lab
Chemical Engineering,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Chemical Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Chemical Engineering,CY23334,Physical and Organic Chemistry,Chemistry Lab
Chemical Engineering,CH23331,Fluid Mechanics for Chemical Engineers,Fluid Mechanics Lab
Chemical Engineering,CH23431,Particle science and Technology,Particle Science and Technology Lab
Chemical Engineering,CS23411,Python Programming for Machine Learning,Computer Application in Chemical Engg lab
Chemical Engineering,CH23421,Technical Analysis Lab,Technical Analysis Lab
Chemical Engineering,CH23521,Heat Transfer Lab,Thermal Lab 1
Chemical Engineering,CH23621,Mass Transfer Lab,Thermal Lab 1
Chemical Engineering,CH23721,Chemical Reaction Engineering lab,Chemical Reaction Engineering Lab
Chemical Engineering,CH23722,Process Control Lab,Process Control Lab
Chemical Engineering,CH23723,Artificial Intelligence and Machine Learning for Chemical Engineers,Computer Application in Chemical Engg lab
Civil Engineering,PH23131,Physics of Materials,Physics Lab
Civil Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Civil Engineering,CY23223,Engineering Chemistry ,Chemistry Lab
Civil Engineering,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Civil Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Civil Engineering,CE23331,Surveying,Concrete & Survey Lab
Civil Engineering,CE23431,Soil Mechanics,Soil Mechanics & Highway Lab
Civil Engineering,CE23421,Strength of Materials and Hydraulic Engineering Laboratory,Strength of Materials Lab
Civil Engineering,CE23521,Water and Waste Water Analysis Laboratory,Chemistry Lab
Civil Engineering,CE23721,Building Information Modelling,MCT CAD Lab
Computer Science and Design,PH23132,Physics for Information Science,Physics Lab
Computer Science and Design,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Computer Science and Design,IT23231,Digital Logic and Computer Architecture,Digital Lab-1
Computer Science and Design,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Computer Science and Engineering,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Computer Science and Engineering,PH23132,Physics for Information Science,Physics Lab
Computer Science and Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Computer Science and Engineering,EC23232,Digital Logic and Microprocessor,Microprocessor lab-1
Computer Science and Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Computer Science and Engineering (Cyber Security),EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Computer Science and Engineering (Cyber Security),PH23132,Physics for Information Science,Physics Lab
Computer Science and Engineering (Cyber Security),GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Computer Science and Engineering (Cyber Security),EC23232,Digital Logic and Microprocessor,Microprocessor lab-1
Computer Science and Engineering (Cyber Security),GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Computer Science and Business Systems,EE23131,Principles of Electrical Engineering,Electrical Machines I Lab
Computer Science and Business Systems,PH23133,Physics for Computing Science,Physics Lab
Computer Science and Business Systems,EC23242,Principles of Electronics,Engineering Practices Lab (Electronics)
Electrical and Electronics Engineering,CY23131,Chemistry For Electronics Engineering,Chemistry Lab
Electrical and Electronics Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Electrical and Electronics Engineering,PH23232,Physics for Electronics Engineering,Physics Lab
Electrical and Electronics Engineering,EE23221,Electric Circuits Laboratory,"Electronic Devices & Circuits Lab, Power Electronics Lab"
Electrical and Electronics Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Electrical and Electronics Engineering,EE23321,Electronic Devices and Circuits Laboratory,Electronic Devices & Circuits Lab
Electrical and Electronics Engineering,EE23431,Digital Logic Circuits,Power Electronics Lab
Electrical and Electronics Engineering,EE23432,Linear Integrated Circuits and Applications,Electronic Devices & Circuits Lab
Electrical and Electronics Engineering,EE23531,"Microprocessors, Microcontrollers and Applications",Microprocessor and Microcontrollers Lab
Electrical and Electronics Engineering,EE23521,Control and Instrumentation Laboratory,Power System Simulation Lab
Electrical and Electronics Engineering,EE23631,Applications of IoT in Electrical Engineering,Power System Simulation Lab
Electrical and Electronics Engineering,EE23621,Power Electronics and Drives Laboratory,Power Electronics Lab
Electrical and Electronics Engineering,EE23731,Renewable Energy Systems,Power System Simulation Lab
Electronics and Communication Engineering,CY23131,Chemistry For Electronics Engineering,Chemistry Lab
Electronics and Communication Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Electronics and Communication Engineering,EE23132,Basic Electrical Engineering,Electrical Machines I Lab
Electronics and Communication Engineering,PH23232,Physics for Electronics Engineering,Physics Lab
Electronics and Communication Engineering,GE23121,Engineering Practices – Civil and Mechanical,"Engineering Practices Lab (Electrical), Engineering Practices Lab (Electronics)"
Electronics and Communication Engineering,EC23331,Microprocessors and Microcontrollers,Microprocessor and Microcontrollers Lab
Electronics and Communication Engineering,EC23321,Analog and Digital Circuits Laboratory,"Basic electronics lab-1, Digital Lab-1"
Electronics and Communication Engineering,EC23431,Analog Circuits-II,LIC Lab
Electronics and Communication Engineering,CS23422,Python Programming for Machine Learning,DSP Lab
Electronics and Communication Engineering,EC23531,Digital Signal Processing,DSP Lab
Electronics and Communication Engineering,EC23631,VLSI and Chip Design,VLSI Lab
Electronics and Communication Engineering,EC23633,Wireless Communication,Optical and Microwave Lab
Electronics and Communication Engineering,EC23732,RF and Microwave Engineering,Optical and Microwave Lab
Electronics and Communication Engineering,EC23733,Embedded and Real Time Systems,Embedded System Laboratory (ECE)
Electronics and Communication Engineering,EC23721,Artificial Intelligence and Machine Learning for Electronic Engineering,DSP Lab
Food Technology,CY23132,Chemistry for Technologists,Chemistry Lab
Food Technology,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Food Technology,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Food Technology,PH23231,Physics for Bioscience,Physics Lab
Food Technology,FT23211,Food Chemistry Laboratory,Food chemistry Lab
Food Technology,FT23311,Food Microbiology Laboratory,Food Microbiology Lab
Food Technology,FT23312,"Biochemistry & Nutrition
Laboratory",Biochemistry lab
Food Technology,FT23411,Unit operations in Food Industries Laboratory,Food chemistry Lab
Food Technology,FT23412,Food Processing and Preservation Laboratory,Food Processing and Preservation Lab
Food Technology,FT23511,Food Analysis Lab,Biochemistry lab
Food Technology,FT23512,"Food Product Technology
Laboratory",Food Processing and Preservation Lab
Food Technology,CR19P62,Microfluidics Laboratory,MEMS Lab
Information Technology,EE23133,Basic Electrical and Electronics Engineering,Electrical Machines I Lab
Information Technology,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Information Technology,PH23132,Physics for Information Science,Physics Lab
Information Technology,EC23331,Microprocessors and Microcontrollers,Basic electronics lab-1
Information Technology,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Information Technology,IT23231,Digital Logic and Computer Architecture,Digital Lab-1
Mechanical Engineering,PH23131,Physics of Materials,Physics Lab
Mechanical Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Mechanical Engineering,CY23223,Engineering Chemistry ,Chemistry Lab
Mechanical Engineering,EE23132,Basic Electrical Engineering,Electrical Machines I Lab
Mechanical Engineering,GE23122,Engineering Practices – Electrical and Electronics,Machine shop - EPL - 1
Mechanical Engineering,ME23331,Strength of Materials,Strength of Materials Lab
Mechanical Engineering,ME23321,Manufacturing Technology Laboratory I,Manufacturing Technology I
Mechanical Engineering,ME23431,Dynamics of Machines,Dynamics Lab
Mechanical Engineering,ME23432,Fluid Mechanics and Machinery,Fluid Mechanics Lab
Mechanical Engineering,ME23433,Thermal Engineering,Thermal Lab 1
Mechanical Engineering,ME23421,Computer Aided Machine Drawing Laboratory,Mech CAD Lab
Mechanical Engineering,ME23422,"Manufacturing Technology
 Laboratory II",Manufacturing Technology II
Mechanical Engineering,ME23531,Heat and Mass Transfer,Thermal Lab 1
Mechanical Engineering,ME23532,Metrology and Measurements,Metrology & Measurement Lab
Mechanical Engineering,ME23521,Component Modeling Laboratory,Mech CAD Lab
Mechanical Engineering,ME23631,Robotics Laboratory,Isaac Asimov Laboratory
Mechanical Engineering,ME23622,"Simulation and Analysis
 Laboratory",Mech CAD Lab
Mechanical Engineering,ME23731,"Artificial Intelligence for
 Mechanical Engineers",Mech CAD Lab
Mechanical Engineering,ME23732,Mechatronics,Mechatronics Lab
Mechatronics Engineering,EE23132,Basic Electrical Engineering,Electrical Machines I Lab
Mechatronics Engineering,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Mechatronics Engineering,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Mechatronics Engineering,MT23121,Computer Aided Drawing Lab,MCT CAD Lab
Mechatronics Engineering,CY23312,Chemistry for Electronics Engineering,Chemistry Lab
Mechatronics Engineering,PH23141,Physics of Materials,Physics Lab
Mechatronics Engineering,MT23131,Elements of Mechatronics,MCT CAD Lab
Mechatronics Engineering,MT23311,Analog Circuits and Drives,Microprocessor and Microcontrollers Lab
Mechatronics Engineering,MT23313,Mechanics of Solids,Strength of Materials Lab
Mechatronics Engineering,MT23332,Digital System Design,MCT CAD Lab
Mechatronics Engineering,MT23431,Manufacturing Technology,Manufacturing Technology I
Mechatronics Engineering,MT23432,Microcontrollers and Embedded Systems,Microprocessor lab-1
Mechatronics Engineering,MT23433,Sensors and Instrumentation,Industrial Automation Lab
Mechatronics Engineering,MT23434,System Dynamics and Control,MCT CAD Lab
Mechatronics Engineering,MT23421,Fluid mechanics and Thermal Sciences Laboratory,Fluid Mechanics Lab
Mechatronics Engineering,MT23531,Industrial Electronics,Power Electronics Lab
Mechatronics Engineering,MT23521,Theory of Machines Laboratory,Dynamics Lab
Mechatronics Engineering,MT23631,Industrial Robotics,Isaac Asimov Laboratory
Mechatronics Engineering,MT23632,Applied Hydraulics and Pneumatics,Mechatronics Lab
Mechatronics Engineering,MT23731,Industrial Automation,Industrial Automation Lab
Mechatronics Engineering,MT23732,Machine Vision,MCT CAD Lab
Mechatronics Engineering,MT23721,Computer Aided Engineering Laboratory,MCT CAD Lab
Robotics and Automation,EE23132,Basic Electrical Engineering,Electrical Machines I Lab
Robotics and Automation,GE23121,Engineering Practices – Civil and Mechanical,Machine shop - EPL - 1
Robotics and Automation,GE23122,Engineering Practices – Electrical and Electronics,"Engineering Practices Lab (Electronics), Engineering Practices Lab (Electrical)"
Robotics and Automation,CY23131,Chemistry For Electronics Engineering,Chemistry Lab
Robotics and Automation,PH23131,Physics of Materials,Physics Lab
Robotics and Automation,RO23221,Computer Aided Modeling Laboratory,Isaac Asimov Laboratory
Robotics and Automation,RO23331,Elements of Manufacturing Process,Manufacturing Technology II
Robotics and Automation,RO23332,Mechanics of Materials,Dynamics Lab
Robotics and Automation,RO23421,Mechanisms and  Robotics laboratory,Isaac Asimov Laboratory
Robotics and Automation,RO23422,"Industrial Automation 
 Laboratory-I",Automation Lab
Robotics and Automation,RO23521,Mobile Robotics laboratory,Isaac Asimov Laboratory
Robotics and Automation,RO23522,"Industrial Automation 
 Laboratory-II",Automation Lab
Robotics and Automation,RO23631,Robotic operating System,Isaac Asimov Laboratory
Robotics and Automation,RO23632,Robotic Vision and Intelligence,Isaac Asimov Laboratory
Robotics and Automation,RO23731,"Robot Path Planning and 
 Programming",Isaac Asimov Laboratory
Robotics and Automation,RO23721,"Robotics and Automation Problem Solving using AI, ML and DL",Isaac Asimov Laboratory
