academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,,lab_description,required_room_type,specific_room_type,room_number,block,room_description
1,1,BT23131,Microbiology,LoT,2,4,0,4,Biotechnology,Biotechnology,7,Biotechnology,,Microbiology Lab,Core-Lab,LAB,B First Floor,B Block,Microbiology Lab
4,7,AT19713,Project Phase I,L,0,4,0,2,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
4,7,AT19721,Vehicle Maintenance Laboratory,L,0,2,0,1,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
4,7,AT19722,Computer Aided Analysis Laboratory,L,0,2,0,1,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
4,7,AT19723,Comprehension,L,0,2,0,0,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
3,5,AT23521,Two and Three wheelers Laboratory,L,0,2,0,1,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Automotive Components Lab,Core-Lab,LAB,WS AUTO GF2,Workshop,Automotive Components Lab
2,3,CE23321,Construction Materials Laboratory,L,0,4,0,2,Civil Engineering,Civil Engineering,10,Civil Engineering,,Concrete & Survey Lab,Core-Lab,LAB,WS CIVIL 1,C Block,Concrete & Survey Lab
2,3,CE23321,Construction Materials Laboratory,L,0,4,0,2,Civil Engineering,Civil Engineering,10,Civil Engineering,,Concrete & Survey Lab,Core-Lab,LAB,WS CIVIL 1,C Block,Concrete & Survey Lab
3,5,CE23521,Water and Waste Water Analysis Laboratory,L,0,4,0,2,Civil Engineering,Civil Engineering,10,Civil Engineering,,Chemistry Lab,Core-Lab,LAB,D503,D Block,Chemistry Lab
3,5,CE23521,Water and Waste Water Analysis Laboratory,L,0,4,0,2,Civil Engineering,Civil Engineering,10,Civil Engineering,,Chemistry Lab,Core-Lab,LAB,D503,D Block,Chemistry Lab
2,3,CE23331,Surveying,LoT,3,2,0,4,Civil Engineering,Civil Engineering,10,Civil Engineering,,Soil Mechanics & Highway Lab,Core-Lab,LAB,WS CIVIL 2,C Block,Soil Mechanics & Highway Lab
2,5,AE23531,Aircraft Structures - II,LoT,2,2,1,4,Aeronautical Engineering,Aeronautical Engineering,2,Aeronautical Engineering,,Aircraft Structures Lab,Core-Lab,LAB,WS Aero FF2,Workshop,Aircraft Structures Lab
2,3,AE23321,Computer Aided Modelling Laboratory,L,0,4,0,2,Aeronautical Engineering,Aeronautical Engineering,2,Aeronautical Engineering,,Aero CAD Lab,Core-Lab,LAB,CG006,C Block,Aero CAD Lab
2,3,AE23333,Aero Engineering Thermodynamics,LoT,2,2,1,4,Aeronautical Engineering,Aeronautical Engineering,2,Aeronautical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
2,3,MT23331,Analog Devices and Drives,LoT,2,2,0,3,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
3,5,RO23521,Mobile Robotics laboratory,L,0,4,0,2,Robotics & Automation,Robotics & Automation,27,Robotics & Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG,D Block,Isaac Asimov Laboratory
2,3,RO23332,Mechanics of Materials,LoT,3,2,0,4,Robotics & Automation,Robotics & Automation,27,Robotics & Automation,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2,3,RO23331,Elements of Manufacturing Process,LoT,2,2,0,3,Robotics & Automation,Robotics & Automation,27,Robotics & Automation,,Manufacturing Technology I,Core-Lab,LAB,WS MECH GF1,C Block,Manufacturing Technology I
3,5,RO23522,"Industrial Automation 
 Laboratory-II",L,0,4,0,2,Robotics & Automation,Robotics & Automation,27,Robotics & Automation,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
3,5,MT23522,Industrial Electronics Laboratory,L,0,2,0,1,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
2,3,MT23332,Digital System Design,LoT,2,2,0,3,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
2,3,CS23336,Introduction to Python Programming,LoT,1,4,0,3,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
3,5,FT23512,Food Processing and Preservation Laboratory - II,L,0,4,0,2,Food Technology,Food Technology,18,Food Technology,,Food Processing and Preservation Lab,Core-Lab,LAB,CG003,C Block,Food Processing and Preservation Lab
4,5,FT19711,Food Packaging Technology Laboratory,L,0,4,0,2,Food Technology,Food Technology,18,Food Technology,,Baking Lab,Core-Lab,LAB,CG002,C Block,Baking Lab
4,6,FT19712,Livestock and Marine Technology Laboratory,L,0,4,0,2,Food Technology,Food Technology,18,Food Technology,,Livestock Lab,Core-Lab,LAB,WS AUTO FF4,Workshop,Livestock Lab
3,5,FT23512,Food Processing and Preservation Laboratory - II,L,0,4,0,2,Food Technology,Food Technology,18,Food Technology,,Food Processing and Preservation Lab,Core-Lab,LAB,CG003,C Block,Food Processing and Preservation Lab
2,3,AT23331,Automotive Engines,LoT,3,2,0,4,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Thermal Lab 1,Core-Lab,LAB,WS MECH FF4,C Block,Thermal Lab 1
2,3,AT23332,Applied Thermodynamics,LoT,2,2,1,4,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
2,3,AT23333,Strength of Materials for Automobile Engineers,LoT,2,2,1,4,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2,3,AT23334,Production Technology - II,LoT,3,2,0,4,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Manufacturing Technology II,Core-Lab,LAB,WS MECH GF2,C Block,Manufacturing Technology II
4,7,MT19711,Computer Aided Engineering Laboratory,L,0,3,0,1,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
4,7,MT19721,Project Work Phase - I,L,0,2,0,1,Mechatronics Engineering,Mechatronics Engineering,24,Mechatronics Engineering,,Microprocessor and Microcontrollers Lab,Core-Lab,LAB,C106,C Block,Microprocessor and Microcontrollers Lab
2,3,BT23331,Analytical Techniques in Biotechnology,LoT,2,2,0,3,Biotechnology,Biotechnology,7,Biotechnology,,Technical Analysis Lab,Core-Lab,LAB,B Ground Floor,B Block,Technical Analysis Lab
1,1,BT23131,Microbiology,LoT,2,4,0,4,Biotechnology,Biotechnology,7,Biotechnology,,Microbiology Lab,Core-Lab,LAB,B First Floor,B Block,Microbiology Lab
4,7,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Optical and Microwave Lab,Core-Lab,LAB,B120,B Block,Optical and Microwave Lab
4,7,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Optical and Microwave Lab,Core-Lab,LAB,B120,B Block,Optical and Microwave Lab
4,7,EC19712,Advanced Communication Systems Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Optical and Microwave Lab,Core-Lab,LAB,B120,B Block,Optical and Microwave Lab
2,3,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
2,3,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
2,3,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
2,3,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
2,3,EC23321,Analog and Digital Circuits Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
3,5,BT23521,Bioprocess Laboratory- I,L,0,4,0,2,Biotechnology,Biotechnology,7,Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
4,7,EE19742,Power System Operation and Control,LoT,2,2,1,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
3,5,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
3,5,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
3,5,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
3,5,EE23521,Control and Instrumentation Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
3,5,GE23627,Design Thinking and Innovation,T,4,0,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3,5,GE23627,Design Thinking and Innovation,T,4,0,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3,5,GE23627,Design Thinking and Innovation,T,4,0,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3,5,GE23627,Design Thinking and Innovation,T,4,0,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2,3,EE23321,Electronic Devices and Circuits Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2,3,EE23321,Electronic Devices and Circuits Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2,3,EE23321,Electronic Devices and Circuits Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2,3,EE23321,Electronic Devices and Circuits Laboratory,L,0,2,0,1,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3,5,EE23531,"Microprocessors, Microcontrollers and Applications",LoT,3,2,0,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3,5,EE23531,"Microprocessors, Microcontrollers and Applications",LoT,3,2,0,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
1,1,ET23121,Embedded System Laboratory I,L,0,4,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Embedded System Laboratory(EEE),Core-Lab,LAB,BG010,B Block,Embedded System Laboratory(EEE)
2,3,ET23322,IOT for Embedded Applications Laboratory,L,0,4,0,2,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Embedded System Laboratory(EEE),Core-Lab,LAB,BG010,B Block,Embedded System Laboratory(EEE)
3,5,GE23627,Design Thinking and Innovation,T,4,0,0,2,Electrical & Electronics Engineering,Computer Science & Design,12,Computer Science & Design,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
4,7,ME19741,Mechatronics,LoT,3,2,0,5,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
4,7,ME19741,Mechatronics,LoT,3,2,0,5,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
4,7,ME19741,Mechatronics,LoT,3,2,0,5,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
3,5,ME23531,Heat and Mass Transfer,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
3,5,ME23531,Heat and Mass Transfer,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
3,5,ME23532,Metrology and Measurements,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Metrology & Measurement Lab,Core-Lab,LAB,C408,C Block,Metrology & Measurement Lab
3,5,ME23532,Metrology and Measurements,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Metrology & Measurement Lab,Core-Lab,LAB,C408,C Block,Metrology & Measurement Lab
3,5,ME23521,Component Modeling Laboratory,L,0,4,0,2,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
3,5,ME23521,Component Modeling Laboratory,L,0,4,0,2,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
2,3,ME23331,Strength of Materials,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2,3,ME23331,Strength of Materials,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2,3,ME23321,Manufacturing Technology Laboratory I,L,0,2,0,1,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Machine Shop FF2 - EPL - 2,Core-Lab,LAB,WS MECH FF2,C Block,Machine Shop FF2 - EPL - 2
2,3,ME23321,Manufacturing Technology Laboratory I,L,0,2,0,1,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Machine Shop FF2 - EPL - 2,Core-Lab,LAB,WS MECH FF2,C Block,Machine Shop FF2 - EPL - 2
4,7,EE19741,Renewable Energy Systems,LoT,3,2,0,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
4,7,EE19741,Renewable Energy Systems,LoT,3,2,0,4,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
1,1,EE23131,Principles of Electrical Engineering,LoT,2,2,0,3,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15,Computer Science & Business Systems,,Electrical Machines II Lab,Core-Lab,LAB,WBL11,B Block,Electrical Machines II Lab
2,3,CH23331,Fluid Mechanics for Chemical Engineers,LoT,3,2,1,4,Chemical Engineering,Chemical Engineering,8,Chemical Engineering,,Fluid Mechanics Lab,Core-Lab,LAB,WS MECH FM,C Block,Fluid Mechanics Lab
3,5,CH23521,Heat Transfer Lab,L,0,4,0,2,Chemical Engineering,Chemical Engineering,8,Chemical Engineering,,Heat Transfer Lab,Core-Lab,LAB,WS AUTO FF2,Workshop,Heat Transfer Lab
3,5,AT23531,Automotive Electrical and Electronics,LoT,3,2,0,4,Automobile Engineering,Automobile Engineering,5,Automobile Engineering,,Chemical Reaction Engineering Lab,Core-Lab,LAB,B Ground Floor,B Block,Chemical Reaction Engineering Lab
1,1,ED23131,Vibration Analysis and Control,LoT,3,2,0,4,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Dynamics Lab,Core-Lab,LAB,C407,C Block,Dynamics Lab
1,1,ED23121,Mechanism Design Laboratory,L,0,4,0,2,Mechanical Engineering,Mechanical Engineering,23,Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
4,7,CH19711,Chemical Reaction Engineering  lab,L,0,3,0,2,Chemical Engineering,Chemical Engineering,8,Chemical Engineering,,Chemical Reaction Engineering Lab,Core-Lab,LAB,B Ground Floor,B Block,Chemical Reaction Engineering Lab
4,7,BM19741,Digital Image Processing Techniques,LoT,2,2,1,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
2,3,BM23331,Electronic Devices & Circuits,LoT,3,2,0,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Electronics and Instrumentation,Core-Lab,LAB,DG012,D Block,Electronics and Instrumentation
2,3,BM23321,Biochemistry and Physiology Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Biochemistry Lab,Core-Lab,LAB,B First Floor,B Block,Biochemistry Lab
2,3,BM23321,Biochemistry and Physiology Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Biochemistry Lab,Core-Lab,LAB,B First Floor,B Block,Biochemistry Lab
2,3,BM23322,Biomedical Instrumentation Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
2,3,BM23322,Biomedical Instrumentation Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
3,5,BM23531,Signals and Systems Analysis,LoT,1,2,1,3,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
3,5,BM23531,Signals and Systems Analysis,LoT,1,2,1,3,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
3,5,BM23532,Microcontroller and Embedded System Design,LoT,3,2,0,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Microprocessor Lab-1,Core-Lab,LAB,B205,B Block,Microprocessor Lab-1
3,5,BM23521,Diagnostic and Therapeutic Equipment Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
3,5,BM23521,Diagnostic and Therapeutic Equipment Laboratory,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
3,5,BM23532,Microcontroller and Embedded System Design,LoT,3,2,0,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Microprocessor Lab-1,Core-Lab,LAB,B205,B Block,Microprocessor Lab-1
4,7,BM19741,Digital Image Processing Techniques,LoT,2,2,1,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
4,7,BM19712,Hospital Training,L,0,2,0,1,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
4,7,BM19712,Hospital Training,L,0,2,0,1,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
4,7,BM19713,AI-ML-DL in Healthcare,L,0,6,0,3,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Electronics and Instrumentation,Core-Lab,LAB,DG012,D Block,Electronics and Instrumentation
4,7,BM19713,AI-ML-DL in Healthcare,L,0,6,0,3,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Electronics and Instrumentation,Core-Lab,LAB,DG012,D Block,Electronics and Instrumentation
1,1,MX23131,Biosignal Acquisition and Processing,LoT,2,2,1,4,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
1,1,MX23121,Biomedical Instrumentation Lab,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
1,1,MX23322,Training in Healthcare Sector,L,0,4,0,2,Biomedical Engineering,Biomedical Engineering,6,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
1,1,EC23131,Electron Devices,LoT,3,2,0,4,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
4,7,EC19711,Embedded Laboratory,L,0,4,0,2,Electronics & Communication Engineering,Electronics & Communication Engineering,16,Electronics & Communication Engineering,,Embedded System Laboratory (ECE),Core-Lab,LAB,B117,B Block,Embedded System Laboratory (ECE)
