id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level
138,B329,B Block,LIC Lab,1,Core-Lab,20,35,1,0,Basic
139,BG009,B Block,Power Electronics Lab,1,Core-Lab,20,35,1,0,Basic
140,BG010,B Block,Embedded System Laboratory(EEE),1,Core-Lab,0,10,1,0,High-tech
141,BG014,B Block,Electrical Machines I Lab,1,Core-Lab,20,35,1,0,None
142,C106,C Block,Microprocessor and Microcontrollers Lab,1,Core-Lab,20,35,1,0,None
143,C107,C Block,Mechatronics Lab,1,Core-Lab,20,35,1,0,None
144,C401,C Block,Mech CAD Lab,1,Core-Lab,20,35,1,0,Advanced
145,C407,C Block,Dynamics Lab,1,Core-Lab,20,35,1,0,None
146,C408,C Block,Metrology & Measurement Lab,1,Core-Lab,20,35,1,0,None
147,CG001,C Block,Food Microbiology Lab,1,Core-Lab,20,35,1,0,Advanced
148,CG002,C Block,Baking Lab,1,Core-Lab,20,35,1,0,None
149,CG003,C Block,Food Processing and Preservation Lab,1,Core-Lab,20,35,1,0,Advanced
150,CG005,C Block,Avionics Lab,1,Core-Lab,20,35,1,0,Advanced
151,CG006,C Block,Aero CAD Lab,1,Core-Lab,20,35,1,0,None
152,D102,D Block,Auto CAD Lab,1,Core-Lab,20,35,1,0,None
153,DG,D Block,Food Chemistry Lab,1,Core-Lab,20,35,1,0,High-tech
154,DG,D Block,Isaac Asimov Laboratory,1,Core-Lab,20,35,1,0,Basic
155,DG004,D Block,Medical Image Processing Lab,1,Core-Lab,20,35,1,0,Advanced
156,DG012,D Block,Electronics and Instrumentation,1,Core-Lab,20,35,1,0,None
157,DG013,D Block,Diagnostic and Therapeutic Equipment Lab,1,Core-Lab,20,35,1,0,Basic
191,WBL11,B Block,Electrical Machines II Lab,1,Core-Lab,20,35,0,0,High-tech
192,WS Aero FF1,Workshop,Airframe Repair and Aero Engine Lab,1,Core-Lab,20,35,0,0,None
193,WS Aero FF2,Workshop,Aircraft Structures Lab,1,Core-Lab,20,35,0,0,Advanced
194,WS Aero GF,Workshop,Aerodynamics Lab,1,Core-Lab,20,35,0,0,Advanced
195,WS AUTO FF1,Workshop,Mass Transfer Lab,1,Core-Lab,20,35,0,0,High-tech
196,WS AUTO FF2,Workshop,Heat Transfer Lab,1,Core-Lab,20,35,0,0,Basic
197,WS AUTO FF3,Workshop,Process Control Lab,1,Core-Lab,20,35,0,0,High-tech
198,WS AUTO FF4,Workshop,Livestock Lab,1,Core-Lab,20,35,0,0,High-tech
199,WS AUTO GF1,Workshop,Vehicle Maintenance Lab,1,Core-Lab,20,35,0,0,Advanced
200,WS AUTO GF2,Workshop,Automotive Components Lab,1,Core-Lab,20,35,0,0,High-tech
201,WS AUTO GF3,Workshop,Particle Science and Technology Lab,1,Core-Lab,20,35,0,0,Basic
202,WS CIVIL 1,C Block,Concrete & Survey Lab,1,Core-Lab,20,35,0,0,High-tech
203,WS CIVIL 2,C Block,Soil Mechanics & Highway Lab,1,Core-Lab,20,35,0,0,Advanced
204,WS MECH FF1,C Block,Machine Shop FF1 - EPL - 1,1,Core-Lab,50,70,0,0,Advanced
205,WS MECH FF2,C Block,Machine Shop FF2 - EPL - 2,1,Core-Lab,50,70,0,0,None
206,WS MECH FF3,C Block,Machine Shop FF3 - EPL - 3,1,Core-Lab,50,70,0,0,High-tech
207,WS MECH FF4,C Block,Thermal Lab 1,1,Core-Lab,20,35,0,0,Advanced
208,WS MECH FF5,C Block,Engineering Practices Lab (Electrical),1,Core-Lab,50,70,0,0,Basic
209,WS MECH FF6,C Block,Engineering Practices Lab (Electronics),1,Core-Lab,50,70,0,0,None
210,WS MECH FM,C Block,Fluid Mechanics Lab,1,Core-Lab,20,35,0,0,None
211,WS MECH GF1,C Block,Manufacturing Technology I,1,Core-Lab,20,35,0,0,Basic
212,WS MECH GF2,C Block,Manufacturing Technology II,1,Core-Lab,20,35,0,0,High-tech
213,WS MECH SM,C Block,Strength of Materials Lab,1,Core-Lab,20,35,0,0,High-tech
214,WS MECH TL,C Block,Thermal Lab 2,1,Core-Lab,20,35,0,0,Basic
215,TANCAM,Arch Block,,1,Core-Lab,0,25,0,1,High-tech
216,D503,D Block,Chemistry Lab,1,Core-Lab,0,70,0,0,None
217,D603,D block,Physics LAB - 1,1,Core-Lab,30,60,0,0,Advanced
218,D403,D block,Physics LAB - 2,1,Core-Lab,30,60,0,0,Advanced
