course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,course_name
CH23521,Chemical Engineering,1,Heat Transfer Lab,,,,,,Heat Transfer Lab
CH23721,Chemical Engineering,1,Technical Analysis Lab,,,,,,Chemical Reaction Engineering lab
CH23722,Chemical Engineering,1,Process Control Lab,,,,,,Process Control Lab
CH23723,Chemical Engineering,1,Computer Application in Chemical Engg Lab,,,,,,Artificial Intelligence and Machine Learning for Chemical Engineers
CY23334,Chemistry,1,Chemistry Lab,,,,,,Physical and Organic Chemistry
EC23321,Electronics and Communication Engineering,2,Digital Lab-2,Digital Lab-1,,,,,Analog and Digital Circuits Laboratory
EC23332,Electronics and Communication Engineering,1,Communication Systems Lab,Microprocessor Lab-2,,,,,Principles of Microprocessor and Microcontrollers
EC23521,Electronics and Communication Engineering,1,Communication Systems Lab,,,,,,Communication Systems Laboratory
EC23531,Electronics and Communication Engineering,1,DSP Lab,,,,,,Digital Signal Processing
EC23721,Electronics and Communication Engineering,2,DSA Classroom-2,DSA Classroom-1,,,,,Artificial Intelligence and Machine Learning for Electronic Engineering
EC23731,Electronics and Communication Engineering,1,Optical and Microwave Lab,,,,,,Optical Communication and Networks
EC23732,Electronics and Communication Engineering,1,Optical and Microwave Lab,,,,,,RF and Microwave Engineering
EC23733,Electronics and Communication Engineering,1,Communication Systems Lab,,,,,,Embedded and Real Time Systems
EE19603,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,,"Microprocessors, Microcontrollers and Applications"
EE19741,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,,Renewable Energy Systems
EE23132,Electrical and Electronics Engineering,1,Electrical Machines II Lab,,,,,,Basic Electrical Engineering
EE23133,Electrical and Electronics Engineering,1,Electrical Machines I Lab,,,,,,Basic Electrical and Electronics Engineering
EE23321,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,,Electronic Devices and Circuits Laboratory
EE23521,Electrical and Electronics Engineering,1,Power Electronics Lab,,,,,,Control and Instrumentation Laboratory
EE23531,Electrical and Electronics Engineering,1,Electronic Devices & Circuits Lab,,,,,,"Microprocessors, Microcontrollers and Applications"
EE23721,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,,Power System Simulation Laboratory
EE23731,Electrical and Electronics Engineering,1,Power System Simulation Lab,,,,,,Renewable Energy Systems
EE23PE31,Electrical and Electronics Engineering,1,TANCAM,,,,,,Wiring Harness Design Engineering
FT23311,Food Technology,1,Food Microbiology Lab,,,,,,Food Microbiology Laboratory
FT23312,Food Technology,1,Food Chemistry Lab,,,,,,Biochemistry and Nutrition Laboratory
FT23511,Food Technology,1,Food Chemistry Lab,,,,,,Food Analysis Laboratory
FT23512,Food Technology,1,Food Processing and Preservation Lab,,,,,,Food Processing and Preservation Laboratory-II
GE23121,Mechanical Engineering,1,Machine Shop FF1 - EPL - 1,,,,,,Engineering Practices – Civil and Mechanical
GE23122,Electrical and Electronics Engineering,1,Engineering Practices Lab (Electrical),,,,,,Engineering PracticesElectrical and Electronics
ME19402,Mechanical Engineering,1,Strength of Materials Lab,,,,,,Strength of Materials
ME19502,Mechanical Engineering,1,Thermal Lab 2,,,,,,Heat and Mass Transfer
ME19542,Mechanical Engineering,1,Metrology & Measurement Lab,,,,,,Metrology and Measurements
ME19741,Mechanical Engineering,1,Mechatronics Lab,,,,,,Mechatronics
ME23321,Mechanical Engineering,1,Manufacturing Technology I,,,,,,Manufacturing Technology Laboratory I
ME23331,Mechanical Engineering,1,Strength of Materials Lab,,,,,,Strength of Materials
ME23521,Mechanical Engineering,1,Mech CAD Lab,,,,,,Component Modeling Laboratory
ME23531,Mechanical Engineering,1,Thermal Lab 2,,,,,,Heat and Mass Transfer
ME23532,Mechanical Engineering,1,Metrology & Measurement Lab,,,,,,Metrology and Measurements
ME23731,Mechanical Engineering,1,Mech CAD Lab,,,,,,Artificial Intelligence for Mechanical Engineering
ME23732,Mechanical Engineering,1,Mechatronics Lab,,,,,,Mechatronics
MT19302,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Digital System Design
MT19304,Mechatronics Engineering,1,Strength of Materials Lab,,,,,,Mechanics of Solids
MT19401,Mechatronics Engineering,1,Manufacturing Technology I,,,,,,Manufacturing Technology
MT19501,Mechatronics Engineering,1,Power Electronics Lab,,,,,,Industrial Electronics
MT23121,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Computer Aided Drawing Laboratory
MT23331,Mechatronics Engineering,1,Industrial Automation Lab,,,,,,Analog Devices And Drives
MT23332,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Digital System Design
MT23333,Mechatronics Engineering,1,Manufacturing Technology I,,,,,,Manufacturing Technology
MT23334,Mechatronics Engineering,1,Strength of Materials Lab,,,,,,Mechanics of Solids
MT23512,Mechatronics Engineering,1,Power Electronics Lab,,,,,,Industrial Electronics
MT23522,Mechatronics Engineering,1,Power Electronics Lab,,,,,,Industrial Electronics Laboratory
MT23721,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Computer Aided Engineering Laboratory
MT23722,Mechatronics Engineering,1,Industrial Automation Lab,,,,,,Industrial Automation Laboratory
MT23723,Mechatronics Engineering,1,MCT CAD Lab,,,,,,"Mechatronics Engineering Problem Solving Using AI, ML and DL"
MT23724,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Project Work Phase I
RO23331,Robotics and Automation,1,Manufacturing Technology I,,,,,,Elements of Manufacturing Processes
RO23332,Robotics and Automation,1,Strength of Materials Lab,,,,,,Mechanics of Materials
RO23521,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,,Mobile Robotics laboratory
RO23522,Robotics and Automation,1,Industrial Automation Lab,,,,,,Industrial Automation Laboratory-II
RO23721,Robotics and Automation,1,Isaac Asimov Laboratory,,,,,,"Robotics and Automation Problem Solving using AI, ML and DL"
IT23331,Information Technology,2,Digital Lab-2,Digital Lab-1,,,,,Digital Logic and Computer Architecture
BM23321,Biomedical Engineering,1,Biochemistry Lab,,,,,,Biochemistry and Physiology Laboratory
CE23321,Civil Engineering,1,Concrete & Survey Lab,,,,,,Construction Materials Laboratory
CS23332,,6,ANEW101,ANEW102,ANEW103,ANEW104,KS02,A104/105,Database Management Systems
CS23333,,6,ANEW101,ANEW102,ANEW103,ANEW104,KS02,A104/105,Object Oriented Programming using Java
CB23333,Computer Science & Business Systems,6,ANEW101,ANEW102,ANEW103,ANEW104,KS02,A104/105,Database Technology
CS23336,Mechatronics Engineering,1,MCT CAD Lab,,,,,,Introduction to Python Programming
CS23422,Aeronautical Engineering,1,MCT CAD Lab,,,,,,Python Programming for Machine learning
