,id,room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by_id_id,green_board,isLcsAvailable,smart_board
55,56,B424,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
56,57,B425,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
57,58,B426,B Block,Classroom,0,Classroom,50,70,0,0,,29,0,0,0
112,113,B First Floor,B Block,Immunology Lab,1,Laboratory,20,35,1,0,Advanced,7,0,0,0
113,114,B First Floor,B Block,Genetic Engineering Lab,1,Laboratory,20,35,1,0,,7,0,0,0
114,115,B First Floor,B Block,Microbiology Lab,1,Laboratory,20,35,1,0,High-tech,7,0,0,0
115,116,B First Floor,B Block,Biochemistry Lab,1,Laboratory,20,35,1,0,Basic,7,0,0,0
116,117,B Ground Floor,B Block,Technical Analysis Lab,1,Laboratory,20,35,1,0,High-tech,8,0,0,0
117,118,B Ground Floor,B Block,Chemical Reaction Engineering Lab,1,Laboratory,20,35,1,0,Basic,8,0,0,0
118,119,B Second Floor,B Block,Downstream Processing Lab,1,Laboratory,20,35,1,0,,7,0,0,0
119,120,B Second Floor,B Block,Bioprocess Lab,1,Laboratory,20,35,1,0,,7,0,0,0
120,121,B Third Floor,B Block,Computer Application in Chemical Engg Lab,1,Laboratory,20,35,1,0,Advanced,8,0,0,0
121,122,B116,B Block,Communication Systems Lab,1,Laboratory,20,35,1,0,,16,0,0,0
122,123,B117,B Block,Embedded System Laboratory (ECE),1,Laboratory,20,35,1,0,,16,0,0,0
123,124,B118,B Block,Basic Electronics Lab-1,1,Laboratory,20,35,1,0,High-tech,16,0,0,0
124,125,B119,B Block,Basic Electronics Lab-2,1,Laboratory,20,35,1,0,Basic,16,0,0,0
125,126,B120,B Block,Optical and Microwave Lab,1,Laboratory,20,35,1,0,Advanced,16,0,0,0
126,127,B202,B Block,DSP Lab,1,Laboratory,20,35,1,0,,16,0,0,0
127,128,B203,B Block,VLSI Lab,1,Laboratory,20,35,1,0,,16,0,0,0
128,129,B204,B Block,Networks Lab,1,Laboratory,20,35,1,0,Advanced,16,0,0,0
129,130,B205,B Block,Microprocessor Lab-1,1,Laboratory,20,35,1,0,,16,0,0,0
130,131,B206,B Block,Microprocessor Lab-2,1,Laboratory,20,35,1,0,Advanced,16,0,0,0
131,132,B305,B Block,Industrial Automation Lab,1,Laboratory,20,35,1,0,High-tech,23,0,0,0
132,133,B310,B Block,MCT CAD Lab,1,Laboratory,20,35,1,0,High-tech,23,0,0,0
133,134,B311,B Block,Electronic Devices & Circuits Lab,1,Laboratory,20,35,1,0,High-tech,15,0,0,0
134,135,B318,B Block,Power System Simulation Lab,1,Laboratory,20,35,1,0,High-tech,15,0,0,0
135,136,B327,B Block,Digital Lab-2,1,Laboratory,20,35,1,0,Basic,16,0,0,0
136,137,B328,B Block,Digital Lab-1,1,Laboratory,20,35,1,0,Basic,16,0,0,0
137,138,B329,B Block,LIC Lab,1,Laboratory,20,35,1,0,Basic,16,0,0,0
138,139,BG009,B Block,Power Electronics Lab,1,Laboratory,20,35,1,0,Basic,15,0,0,0
139,140,BG010,B Block,Embedded System Laboratory(EEE),1,Laboratory,0,10,1,0,High-tech,15,0,0,0
140,141,BG014,B Block,Electrical Machines I Lab,1,Laboratory,20,35,1,0,,15,0,0,0
190,191,WBL11,B Block,Electrical Machines II Lab,1,Laboratory,20,35,0,0,High-tech,15,0,0,0
