academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,Unnamed: 13,lab_description,required_room_type,specific_room_type,room_number,block,room_description
3,6,RO23633,Robot Dynamics and Motion Planning,LoT,3,2,0,4.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG0IAL,D Block,Isaac Asimov Laboratory
2,4,RO23421,Mechanisms and Robotics Laboratory,L,0,4,0,2.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG0IAL,D Block,Isaac Asimov Laboratory
2,4,RO23422,Industrial Automation Laboratory-I,L,0,4,0,2.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
2,4,ME23422,Manufacturing Technology Laboratory II,L,0,4,0,2.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Manufacturing Technology II,Core-Lab,LAB,WS MECH GF2,Workshop,Manufacturing Technology II
3,6,ME23622,Simulation and Analysis Laboratory,L,0,4,0,2.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
1,2,EE23133,Basic Electrical and Electronics Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Civil Engineering,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Civil Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
3,6,AE23631,Flight Vehicle Design,LoT,3,2,0,4.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Aero CAD Lab,Core-Lab,LAB,CG006,C Block,Aero CAD Lab
3,6,AE23622,Jet Propulsion Laboratory,L,0,4,0,2.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Aerodynamics Lab,Core-Lab,LAB,WS Aero GF,Workshop,Aerodynamics Lab
3,6,AE23623,Airframe Repair and Aero Engine Laboratory,L,0,4,0,2.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Airframe Repair and Aero Engine Lab,Core-Lab,LAB,WS Aero FF1,Workshop,Airframe Repair and Aero Engine Lab
1,2,EE23133,Basic Electrical and Electronics Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Automobile Engineering,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Automobile Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Biomedical Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
1,2,EE23133,Basic Electrical and Electronics Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
1,2,GE23121,Engineering Practices - Civil and  Mechanical,L,0,2,0,1.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Electrical and Electronics Engineering,,Machine Shop FF1 - EPL - 1,Core-Lab,LAB,WS MECH FF1,Workshop,Machine Shop FF1 - EPL - 1
2,4,MT23431,Microcontrollers and Embedded Systems,LoT,3,2,0,4.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
2,4,MT23432,Sensors and Instrumentation,LoT,3,2,0,4.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
2,4,MT23433,System Dynamics and Control,LoT,3,2,0,4.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
2,4,MT23421,Fluid Mechanics and Heat Transfer laboratory,L,0,2,0,1.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,Fluid Mechanics Lab,Core-Lab,LAB,WS MECH FM,Workshop,Fluid Mechanics Lab
3,6,MT23631,Industrial Robotics,LoT,2,2,1,4.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
3,6,MT23632,Applied Hydraulics and Pneumatics,LoT,2,2,1,4.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
1,2,EE23133,Basic Electrical and Electronics Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Chemical Engineering,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Chemical Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
1,2,EE23221,Electric Circuits Laboratory,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Electrical and Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
4,8,MT19811,Project Work - Phase II,L,0,18,0,9.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
1,2,EE23132,Basic Electrical Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Mechanical Engineering,,Electrical Machines II Lab,Core-Lab,LAB,WBL11,,Electrical Machines II Lab
1,2,EE23133,Basic Electrical and Electronics Engineering,LoT,3,2,0,4.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Food Technology,,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
1,2,MT23131,Elements of Mechatronics,LoT,2,2,0,3.0,Department of Mechatronics Engineering,Department of Mechatronics Engineering,24,Department of Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
1,2,RO23221,Computer Aided Modeling Laboratory,L,0,4,0,2.0,Department of Robotics and Automation,Department of Robotics and Automation,27,Department of Robotics and Automation,,,Core-Lab,LAB,TANCAM,Arch Block,
2,4,AE23431,Incompressible Aerodynamics,LoT,2,2,1,4.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Aerodynamics Lab,Core-Lab,LAB,WS Aero GF,Workshop,Aerodynamics Lab
2,4,AE23432,Aircraft Materials and Processes,LoT,3,2,0,4.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Aircraft Structures Lab,Core-Lab,LAB,WS Aero FF2,Workshop,Aircraft Structures Lab
2,4,AE23433,Aircraft Systems and Instruments,LoT,3,2,0,4.0,Department of Aeronautical Engineering,Department of Aeronautical Engineering,3,Department of Aeronautical Engineering,,Aircraft Structures Lab,Core-Lab,LAB,WS Aero FF2,Workshop,Aircraft Structures Lab
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Aeronautical Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
1,2,GE23122,Engineering Practices - Electrical and Electronics,L,0,2,0,1.0,Department of Electrical and Electronics Engineering,Department of Electrical and Electronics Engineering,16,Department of Mechanical Engineering,,Engineering Practices Lab (Electrical),Core-Lab,LAB,WS MECH FF5,Workshop,Engineering Practices Lab (Electrical)
3,6,ME23VAP2,Thors E Learning,L,0,2,0,0.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
2,4,ME23VAP2,Thors E Learning,L,0,2,0,0.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
2,4,ME23421,Machine Drawing Laboratory,L,0,4,0,2.0,Department of Mechanical Engineering,Department of Mechanical Engineering,23,Department of Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
